locus	cpg_label	gc_background	gc_peaks	gc_diff
chr16:56278091-56283092	Open Sea	0.451	0.58	1.29
chr10:73744338-73749339	Open Sea	0.471	0.553	1.18
chr5:159590194-159595195	Open Sea	0.468	0.547	1.17
chr5:173291637-173296638	Open Sea	0.463	0.587	1.27
chr5:159600413-159605414	Open Sea	0.487	0.673	1.38
chr8:26496894-26501895	Open Sea	0.48	0.547	1.14
chr10:81092603-81097604	Open Sea	0.486	0.587	1.21
chr3:185925473-185930474	Open Sea	0.473	0.567	1.2
chr18:48178718-48183719	Open Sea	0.473	0.5	1.06
chr3:44167214-44172215	Open Sea	0.488	0.513	1.05
chr12:109237759-109242760	Open Sea	0.512	0.573	1.12
chr1:200980718-200985719	Open Sea	0.517	0.607	1.17
chr2:208675606-208680607	Open Sea	0.495	0.54	1.09
chr2:47287619-47292620	Open Sea	0.518	0.493	0.952
chr5:173052400-173057401	Open Sea	0.514	0.507	0.985
chr3:111718873-111723874	Open Sea	0.455	0.5	1.1
chr9:126213810-126218811	Open Sea	0.487	0.56	1.15
chr2:175554601-175559602	Open Sea	0.474	0.547	1.15
chr9:34499126-34504127	Open Sea	0.481	0.547	1.14
chr20:47422130-47427131	Open Sea	0.501	0.58	1.16
chr6:3348971-3353972	Open Sea	0.481	0.513	1.07
chr1:201697436-201702437	Open Sea	0.489	0.553	1.13
chr10:12550392-12555393	Open Sea	0.477	0.5	1.05
chr7:71615473-71620474	Open Sea	0.461	0.447	0.969
chr17:71713467-71718468	Open Sea	0.486	0.64	1.32
chr8:125844472-125849473	Open Sea	0.479	0.613	1.28
chr1:156380478-156385479	Open Sea	0.488	0.6	1.23
chr10:105457375-105462376	Open Sea	0.509	0.52	1.02
chr3:187767165-187772166	Open Sea	0.457	0.6	1.31
chr15:31212670-31217671	Open Sea	0.47	0.62	1.32
chr7:99599204-99604205	Open Sea	0.463	0.56	1.21
chr12:3143295-3148296	Open Sea	0.541	0.547	1.01
chr22:41873440-41878441	Open Sea	0.514	0.487	0.948
chr8:67420266-67425267	Open Sea	0.521	0.467	0.895
chr1:156454471-156459472	Open Sea	0.543	0.627	1.15
chr20:42191318-42196319	Open Sea	0.502	0.62	1.23
chr17:73863603-73868604	Open Sea	0.506	0.66	1.3
chr11:34285538-34290539	Open Sea	0.487	0.487	1
chr6:3245527-3250528	Open Sea	0.477	0.667	1.4
chr17:55738505-55743506	Open Sea	0.495	0.507	1.02
chr14:95921308-95926309	Open Sea	0.492	0.493	1
chr5:14726173-14731174	Open Sea	0.51	0.58	1.14
chr9:37936284-37941285	Open Sea	0.462	0.64	1.38
chr1:208410627-208415628	Open Sea	0.464	0.587	1.26
chr2:25477534-25482535	Open Sea	0.493	0.533	1.08
chr12:105060432-105065433	Open Sea	0.482	0.653	1.35
chr1:110079985-110084986	Open Sea	0.489	0.587	1.2
chr14:24004704-24009705	Open Sea	0.471	0.573	1.22
chr2:85966638-85971639	Open Sea	0.484	0.627	1.29
chr10:79271219-79276220	Open Sea	0.471	0.64	1.36
chr3:72376177-72381178	Open Sea	0.478	0.587	1.23
chr16:55709907-55714908	Open Sea	0.48	0.5	1.04
chr19:13567887-13572888	Open Sea	0.48	0.527	1.1
chr1:54760907-54765908	Open Sea	0.489	0.533	1.09
chr11:18768872-18773873	Open Sea	0.453	0.573	1.27
chr2:159577138-159582139	Open Sea	0.482	0.58	1.2
chr1:226588212-226593213	Open Sea	0.491	0.587	1.2
chr8:22636556-22641557	Open Sea	0.514	0.587	1.14
chr14:94217265-94222266	Open Sea	0.494	0.54	1.09
chr10:106438568-106443569	Open Sea	0.447	0.72	1.61
chr1:43416574-43421575	Open Sea	0.478	0.633	1.33
chr1:204233951-204238952	Open Sea	0.501	0.513	1.03
chr12:6339879-6344880	Open Sea	0.49	0.553	1.13
chr1:204433443-204438444	Open Sea	0.511	0.653	1.28
chr12:58284840-58289841	Open Sea	0.481	0.58	1.21
chr17:9860339-9865340	Open Sea	0.503	0.607	1.21
chr14:94217770-94222771	Open Sea	0.484	0.513	1.06
chr3:45584820-45589821	Open Sea	0.501	0.52	1.04
chr1:230478957-230483958	Open Sea	0.475	0.467	0.982
chr2:97072423-97077424	Open Sea	0.498	0.493	0.99
chr1:111122098-111127099	Open Sea	0.512	0.44	0.859
chr2:85969765-85974766	Open Sea	0.524	0.453	0.866
chr11:12262727-12267728	Open Sea	0.52	0.54	1.04
chr12:6322801-6327802	Open Sea	0.514	0.573	1.11
chr11:113136014-113141015	Open Sea	0.515	0.553	1.07
chr3:9817488-9822489	Open Sea	0.518	0.507	0.978
chr9:134296380-134301381	Open Sea	0.499	0.573	1.15
chr3:58560657-58565658	Open Sea	0.493	0.453	0.92
chr6:4349915-4354916	Open Sea	0.506	0.54	1.07
chr11:125243618-125248619	Open Sea	0.533	0.593	1.11
chr1:17434040-17439041	Open Sea	0.524	0.593	1.13
chr11:130270825-130275826	Open Sea	0.531	0.587	1.11
chr10:123405183-123410184	Open Sea	0.497	0.633	1.28
chr11:119759805-119764806	Open Sea	0.514	0.54	1.05
chr1:26111089-26116090	Open Sea	0.505	0.5	0.99
chr3:33186065-33191066	Open Sea	0.522	0.433	0.83
chr14:96564111-96569112	Open Sea	0.509	0.62	1.22
chr11:65256970-65261971	Open Sea	0.538	0.62	1.15
chr3:13726629-13731630	Open Sea	0.555	0.48	0.865
chr4:6087098-6092099	Open Sea	0.528	0.547	1.03
chr5:139240617-139245618	Open Sea	0.522	0.62	1.19
chr10:73733036-73738037	Open Sea	0.525	0.633	1.21
chr16:84387948-84392949	Open Sea	0.528	0.627	1.19
chr1:201429817-201434818	Open Sea	0.507	0.573	1.13
chr2:15938758-15943759	Open Sea	0.485	0.653	1.35
chr10:100151884-100156885	Open Sea	0.502	0.533	1.06
chr14:92355974-92360975	Open Sea	0.484	0.48	0.992
chr20:45946151-45951152	Open Sea	0.483	0.58	1.2
chr3:139740159-139745160	Open Sea	0.483	0.633	1.31
chr2:20713929-20718930	Open Sea	0.491	0.627	1.28
chr17:58246222-58251223	Open Sea	0.485	0.6	1.24
chr1:45055454-45060455	Open Sea	0.503	0.627	1.24
chr12:6337476-6342477	Open Sea	0.536	0.547	1.02
chr20:1862250-1867251	Open Sea	0.505	0.587	1.16
chr10:106445685-106450686	Open Sea	0.484	0.613	1.27
chr1:160178073-160183074	Open Sea	0.491	0.593	1.21
chr3:11036036-11041037	Open Sea	0.517	0.513	0.992
chr1:204444156-204449157	Open Sea	0.502	0.573	1.14
chr6:37639600-37644601	Open Sea	0.504	0.52	1.03
chr19:2378805-2383806	Open Sea	0.486	0.507	1.04
chr11:131371772-131376773	Open Sea	0.5	0.567	1.13
chr11:44052764-44057765	Open Sea	0.488	0.52	1.07
chr2:55363441-55368442	Open Sea	0.494	0.433	0.877
chr8:125614602-125619603	Open Sea	0.479	0.487	1.02
chr1:202815012-202820013	Open Sea	0.489	0.493	1.01
chr11:117603717-117608718	Open Sea	0.507	0.547	1.08
chr19:7557074-7562075	Open Sea	0.493	0.553	1.12
chr14:71671279-71676280	Open Sea	0.468	0.56	1.2
chr8:125607528-125612529	Open Sea	0.48	0.527	1.1
chr10:120430316-120435317	Open Sea	0.484	0.48	0.991
chr22:25203968-25208969	Open Sea	0.487	0.493	1.01
chr1:31847291-31852292	Open Sea	0.502	0.573	1.14
chr3:64447313-64452314	Open Sea	0.457	0.473	1.04
chr3:126643218-126648219	Open Sea	0.508	0.547	1.08
chr9:36204634-36209635	Open Sea	0.487	0.56	1.15
chr1:15292679-15297680	Open Sea	0.49	0.527	1.08
chr10:118448005-118453006	Open Sea	0.499	0.52	1.04
chr11:119858654-119863655	Open Sea	0.533	0.553	1.04
chr10:123289649-123294650	Open Sea	0.485	0.593	1.22
chr16:56290334-56295335	Open Sea	0.496	0.507	1.02
chr1:25042074-25047075	Open Sea	0.513	0.553	1.08
chr5:131710406-131715407	Open Sea	0.469	0.607	1.29
chr15:51450350-51455351	Open Sea	0.484	0.573	1.18
chr1:175646718-175651719	Open Sea	0.49	0.507	1.03
chr21:43672460-43677461	Open Sea	0.534	0.573	1.07
chr9:38022093-38027094	Open Sea	0.531	0.573	1.08
chr22:30734509-30739510	Open Sea	0.507	0.633	1.25
chr5:141124449-141129450	Open Sea	0.495	0.64	1.29
chr1:154569823-154574824	Open Sea	0.491	0.547	1.11
chr1:39553534-39558535	Open Sea	0.473	0.507	1.07
chr1:37334872-37339873	Open Sea	0.502	0.573	1.14
chr14:69012560-69017561	Open Sea	0.483	0.573	1.19
chr1:109840460-109845461	Open Sea	0.488	0.593	1.22
chr15:90715560-90720561	Open Sea	0.453	0.447	0.987
chr1:57488271-57493272	Open Sea	0.439	0.653	1.49
chr6:110862022-110867023	Open Sea	0.451	0.567	1.26
chr1:150227109-150232110	Open Sea	0.466	0.607	1.3
chr3:185936414-185941415	Open Sea	0.438	0.6	1.37
chr13:26589141-26594142	Open Sea	0.461	0.54	1.17
chr5:31885265-31890266	Open Sea	0.437	0.44	1.01
chr4:184906299-184911300	Open Sea	0.441	0.673	1.53
chr11:113069484-113074485	Open Sea	0.448	0.507	1.13
chr8:101426391-101431392	Open Sea	0.453	0.513	1.13
chr3:65580639-65585640	Open Sea	0.418	0.58	1.39
chr16:65102923-65107924	Open Sea	0.408	0.5	1.22
chr9:73213571-73218572	Open Sea	0.424	0.54	1.27
chr16:24862941-24867942	Open Sea	0.456	0.64	1.4
chr4:185202397-185207398	Open Sea	0.448	0.633	1.41
chr22:18525108-18530109	Open Sea	0.445	0.547	1.23
chr20:25510564-25515565	Open Sea	0.414	0.627	1.51
chr2:121930217-121935218	Open Sea	0.457	0.647	1.42
chr17:19237795-19242796	Open Sea	0.455	0.613	1.35
chr11:131539363-131544364	Open Sea	0.498	0.653	1.31
chr16:50623722-50628723	Open Sea	0.499	0.607	1.22
chr7:151508696-151513697	Open Sea	0.488	0.513	1.05
chr7:2767362-2772363	Open Sea	0.448	0.52	1.16
chr11:65063876-65068877	Open Sea	0.504	0.553	1.1
chr14:102882410-102887411	Open Sea	0.491	0.673	1.37
chr2:240113360-240118361	Open Sea	0.486	0.493	1.01
chr10:105484877-105489878	Open Sea	0.512	0.653	1.28
chr4:8018795-8023796	Open Sea	0.504	0.473	0.94
chr11:3019431-3024432	Open Sea	0.522	0.533	1.02
chr11:61714657-61719658	Open Sea	0.503	0.513	1.02
chr17:73862992-73867993	Open Sea	0.484	0.46	0.95
chr19:29993531-29998532	Open Sea	0.525	0.653	1.24
chr4:7312725-7317726	Open Sea	0.487	0.64	1.31
chr16:27727717-27732718	Open Sea	0.469	0.587	1.25
chr16:46925635-46930636	Open Sea	0.438	0.64	1.46
chr16:519723-524724	Open Sea	0.466	0.573	1.23
chr14:23980909-23985910	Open Sea	0.504	0.547	1.08
chr22:17610294-17615295	Open Sea	0.478	0.613	1.28
chr9:97838025-97843026	Open Sea	0.48	0.56	1.17
chr9:131165072-131170073	Open Sea	0.489	0.66	1.35
chr10:73147964-73152965	Open Sea	0.462	0.627	1.36
chr3:138098546-138103547	Open Sea	0.452	0.567	1.25
chr15:69096781-69101782	Open Sea	0.485	0.56	1.16
chr1:204031943-204036944	Open Sea	0.486	0.593	1.22
chr1:207992080-207997081	Open Sea	0.509	0.667	1.31
chr2:16207725-16212726	Open Sea	0.494	0.6	1.21
chr5:172979249-172984250	Open Sea	0.474	0.533	1.13
chr8:102079300-102084301	Open Sea	0.487	0.567	1.16
chr14:91031191-91036192	Open Sea	0.484	0.56	1.16
chr16:74756254-74761255	Open Sea	0.509	0.647	1.27
chr2:46685387-46690388	Open Sea	0.473	0.573	1.21
chr5:149716407-149721408	Open Sea	0.497	0.553	1.11
chr18:13609458-13614459	Open Sea	0.464	0.7	1.51
chr2:3350643-3355644	Open Sea	0.448	0.633	1.41
chr5:32098092-32103093	Open Sea	0.454	0.573	1.26
chr19:5306627-5311628	Open Sea	0.472	0.627	1.33
chr8:102119354-102124355	Open Sea	0.453	0.507	1.12
chr2:240146026-240151027	Open Sea	0.499	0.62	1.24
chr8:27466534-27471535	Open Sea	0.488	0.56	1.15
chr12:114367840-114372841	Open Sea	0.512	0.667	1.3
chr15:102018078-102023079	Open Sea	0.547	0.613	1.12
chr16:57294516-57299517	Open Sea	0.54	0.627	1.16
chr4:7629871-7634872	Open Sea	0.513	0.547	1.07
chr11:1560409-1565410	Open Sea	0.499	0.62	1.24
chr12:1945290-1950291	Open Sea	0.559	0.46	0.823
chr1:202096573-202101574	Open Sea	0.555	0.633	1.14
chr11:3845692-3850693	Open Sea	0.516	0.607	1.18
chr22:41658387-41663388	Open Sea	0.529	0.553	1.05
chr19:4875742-4880743	Open Sea	0.516	0.667	1.29
chr17:56011070-56016071	Open Sea	0.47	0.633	1.35
chr7:156369342-156374343	Open Sea	0.458	0.527	1.15
chr9:129248736-129253737	Open Sea	0.496	0.587	1.18
chr10:98816459-98821460	Open Sea	0.503	0.587	1.17
chr5:137943251-137948252	Open Sea	0.451	0.58	1.29
chr19:35603804-35608805	Open Sea	0.508	0.62	1.22
chr17:48438688-48443689	Open Sea	0.541	0.52	0.961
chr16:3160010-3165011	Open Sea	0.507	0.647	1.28
chr8:22082367-22087368	Open Sea	0.524	0.54	1.03
chr11:17000920-17005921	Open Sea	0.468	0.547	1.17
chr6:43454647-43459648	Open Sea	0.48	0.62	1.29
chr9:130714791-130719792	Open Sea	0.484	0.64	1.32
chr16:84437608-84442609	Open Sea	0.484	0.547	1.13
chr15:43807322-43812323	Open Sea	0.483	0.667	1.38
chr9:34499671-34504672	Open Sea	0.476	0.58	1.22
chr16:74779675-74784676	Open Sea	0.484	0.62	1.28
chr16:519221-524222	Open Sea	0.482	0.567	1.18
chr14:103471471-103476472	Open Sea	0.493	0.647	1.31
chr1:11413283-11418284	Open Sea	0.511	0.66	1.29
chr17:29792540-29797541	Open Sea	0.497	0.573	1.15
chr11:44647182-44652183	Open Sea	0.492	0.62	1.26
chr5:139718835-139723836	Open Sea	0.487	0.6	1.23
chr11:118048754-118053755	Open Sea	0.472	0.627	1.33
chr12:125329890-125334891	Open Sea	0.506	0.527	1.04
chr10:657816-662817	Open Sea	0.467	0.64	1.37
chr11:117593490-117598491	Open Sea	0.448	0.573	1.28
chr17:62231126-62236127	Open Sea	0.465	0.587	1.26
chr2:11987822-11992823	Open Sea	0.479	0.62	1.3
chr1:109727043-109732044	Open Sea	0.502	0.587	1.17
chr22:20023390-20028391	Open Sea	0.543	0.593	1.09
chr2:159581066-159586067	Open Sea	0.511	0.54	1.06
chr3:52149990-52154991	Open Sea	0.494	0.493	0.999
chr5:141202352-141207353	Open Sea	0.516	0.52	1.01
chr17:37806750-37811751	Open Sea	0.535	0.573	1.07
chr1:154818097-154823098	Open Sea	0.546	0.613	1.12
chr11:63275546-63280547	Open Sea	0.535	0.633	1.18
chr1:44016165-44021166	Open Sea	0.517	0.633	1.23
chr1:33341514-33346515	Open Sea	0.537	0.547	1.02
chr5:141165621-141170622	Open Sea	0.506	0.547	1.08
chr15:41854319-41859320	Open Sea	0.512	0.647	1.26
chr1:34436313-34441314	Open Sea	0.512	0.587	1.15
chr10:105473679-105478680	Open Sea	0.54	0.527	0.976
chr19:47108472-47113473	Open Sea	0.56	0.6	1.07
chr22:38420558-38425559	Open Sea	0.545	0.64	1.17
chr14:90956303-90961304	Open Sea	0.503	0.5	0.993
chr2:26933212-26938213	Open Sea	0.526	0.567	1.08
chr1:155936948-155941949	Open Sea	0.523	0.593	1.14
chr1:156368133-156373134	Open Sea	0.531	0.653	1.23
chr12:122189405-122194406	Open Sea	0.528	0.613	1.16
chr1:231321040-231326041	Open Sea	0.504	0.56	1.11
chr11:117495689-117500690	Open Sea	0.521	0.653	1.25
chr1:205013714-205018715	Open Sea	0.542	0.647	1.19
chr1:41917768-41922769	Open Sea	0.51	0.653	1.28
chr17:27414372-27419373	Open Sea	0.543	0.687	1.26
chr7:151509298-151514299	Open Sea	0.5	0.62	1.24
chr9:131142885-131147886	Open Sea	0.504	0.593	1.18
chr1:203111446-203116447	Open Sea	0.517	0.593	1.15
chr5:141148289-141153290	Open Sea	0.513	0.52	1.01
chr8:99190158-99195159	Open Sea	0.528	0.493	0.934
chr1:153899251-153904252	Open Sea	0.518	0.58	1.12
chr9:117107703-117112704	Open Sea	0.52	0.567	1.09
chr11:70469679-70474680	Open Sea	0.533	0.6	1.13
chr19:18198222-18203223	Open Sea	0.516	0.66	1.28
chr1:54637052-54642053	Open Sea	0.494	0.58	1.17
chr11:116599608-116604609	Open Sea	0.536	0.613	1.14
chr15:29274884-29279885	Open Sea	0.492	0.64	1.3
chr1:205015162-205020163	Open Sea	0.513	0.647	1.26
chr14:77388525-77393526	Open Sea	0.549	0.567	1.03
chr2:97550830-97555831	Open Sea	0.542	0.54	0.996
chr18:72177245-72182246	Open Sea	0.525	0.553	1.05
chr9:92048915-92053916	Open Sea	0.508	0.593	1.17
chr17:76426044-76431045	Open Sea	0.525	0.633	1.21
chr1:180893395-180898396	Open Sea	0.537	0.653	1.22
chr16:74779171-74784172	Open Sea	0.531	0.5	0.942
chr5:137782316-137787317	Open Sea	0.549	0.507	0.923
chr19:29992959-29997960	Open Sea	0.518	0.56	1.08
chr8:126423407-126428408	Open Sea	0.515	0.593	1.15
chr14:90917691-90922692	Open Sea	0.538	0.593	1.1
chr1:230885865-230890866	Open Sea	0.526	0.64	1.22
chr1:226843477-226848478	Open Sea	0.547	0.633	1.16
chr3:13117047-13122048	Open Sea	0.52	0.68	1.31
chr19:13169090-13174091	Open Sea	0.543	0.707	1.3
chr14:93483381-93488382	Open Sea	0.522	0.627	1.2
chr2:7146165-7151166	Open Sea	0.506	0.673	1.33
chr13:27577441-27582442	Open Sea	0.491	0.6	1.22
chr14:93437584-93442585	Open Sea	0.544	0.653	1.2
chr17:37040016-37045017	Open Sea	0.529	0.62	1.17
chr15:77871379-77876380	Open Sea	0.543	0.56	1.03
chr7:5625737-5630738	Open Sea	0.568	0.66	1.16
chr12:50494097-50499098	Open Sea	0.545	0.573	1.05
chr1:54736674-54741675	Open Sea	0.544	0.613	1.13
chr19:2692902-2697903	Open Sea	0.508	0.613	1.21
chr7:47365230-47370231	Open Sea	0.524	0.72	1.37
chr12:50200265-50205266	Open Sea	0.487	0.633	1.3
chr10:80671241-80676242	Open Sea	0.503	0.58	1.15
chr11:116600226-116605227	Open Sea	0.522	0.553	1.06
chr11:72498517-72503518	Open Sea	0.516	0.593	1.15
chr10:99307418-99312419	Open Sea	0.481	0.58	1.21
chr21:33676124-33681125	Open Sea	0.473	0.553	1.17
chr8:22247778-22252779	Open Sea	0.48	0.627	1.3
chr14:93475983-93480984	Open Sea	0.528	0.64	1.21
chr22:42710692-42715693	Open Sea	0.561	0.553	0.987
chr11:116598951-116603952	Open Sea	0.528	0.62	1.17
chr18:46326916-46331917	Open Sea	0.543	0.587	1.08
chr17:29738519-29743520	Open Sea	0.563	0.547	0.971
chr1:205014460-205019461	Open Sea	0.508	0.533	1.05
chr6:44099096-44104097	Open Sea	0.543	0.52	0.958
chr11:8057558-8062559	Open Sea	0.531	0.56	1.05
chr22:38058275-38063276	Open Sea	0.536	0.5	0.934
chr15:77894402-77899403	Open Sea	0.548	0.667	1.22
chr5:149661564-149666565	Open Sea	0.542	0.667	1.23
chr1:120275560-120280561	Open Sea	0.514	0.62	1.21
chr3:72278247-72283248	Open Sea	0.502	0.547	1.09
chr11:111318470-111323471	Open Sea	0.522	0.553	1.06
chr2:20827093-20832094	Open Sea	0.531	0.62	1.17
chr10:45428678-45433679	Open Sea	0.527	0.587	1.11
chr11:117532291-117537292	Open Sea	0.504	0.64	1.27
chr5:131336868-131341869	Open Sea	0.533	0.533	1
chr8:26443641-26448642	Open Sea	0.528	0.66	1.25
chr11:73361001-73366002	Open Sea	0.509	0.593	1.17
chr19:17864428-17869429	Open Sea	0.541	0.62	1.15
chr2:85618935-85623936	Open Sea	0.521	0.547	1.05
chr8:67422628-67427629	Open Sea	0.497	0.607	1.22
chr1:19265482-19270483	Open Sea	0.523	0.553	1.06
chr2:47239021-47244022	Open Sea	0.53	0.52	0.981
chr11:6423598-6428599	Open Sea	0.525	0.66	1.26
chr4:6372922-6377923	Open Sea	0.545	0.6	1.1
chr4:4395233-4400234	Open Sea	0.532	0.573	1.08
chr10:47697772-47702773	Open Sea	0.533	0.5	0.938
chr1:207994292-207999293	Open Sea	0.525	0.48	0.914
chr5:149663287-149668288	Open Sea	0.534	0.5	0.937
chr1:201466890-201471891	Open Sea	0.521	0.553	1.06
chr12:6336765-6341766	Open Sea	0.52	0.593	1.14
chr15:74090809-74095810	Open Sea	0.529	0.613	1.16
chr22:40820294-40825295	Open Sea	0.537	0.507	0.944
chr1:150938663-150943664	Open Sea	0.512	0.6	1.17
chr17:56602988-56607989	Open Sea	0.53	0.587	1.11
chr3:49673582-49678583	Open Sea	0.543	0.533	0.981
chr11:117509731-117514732	Open Sea	0.538	0.573	1.07
chr15:43809049-43814050	Open Sea	0.544	0.56	1.03
chr10:88024615-88029616	Open Sea	0.531	0.607	1.14
chr11:117536578-117541579	Open Sea	0.516	0.54	1.05
chr18:35079843-35084844	Open Sea	0.529	0.507	0.957
chr19:17865138-17870139	Open Sea	0.537	0.573	1.07
chr14:95964936-95969937	Open Sea	0.497	0.587	1.18
chr1:11038511-11043512	Open Sea	0.511	0.567	1.11
chr1:54792693-54797694	Open Sea	0.504	0.613	1.22
chr5:173534555-173539556	Open Sea	0.504	0.553	1.1
chr10:80133280-80138281	Open Sea	0.509	0.447	0.878
chr1:11037857-11042858	Open Sea	0.502	0.66	1.31
chr3:123136333-123141334	Open Sea	0.477	0.493	1.03
chr3:197095169-197100170	Open Sea	0.489	0.52	1.06
chr15:43807827-43812828	Open Sea	0.488	0.56	1.15
chr3:49672089-49677090	Open Sea	0.497	0.56	1.13
chr6:89293987-89298988	Open Sea	0.506	0.6	1.19
chrX:56826969-56831970	Open Sea	0.49	0.56	1.14
chr14:95063237-95068238	Open Sea	0.498	0.507	1.02
chr16:81190298-81195299	Open Sea	0.502	0.533	1.06
chr22:41907050-41912051	Open Sea	0.537	0.573	1.07
chr16:57174668-57179669	Open Sea	0.532	0.633	1.19
chr1:27860891-27865892	Open Sea	0.49	0.667	1.36
chr19:4383692-4388693	Open Sea	0.521	0.613	1.18
chr12:114325288-114330289	Open Sea	0.474	0.607	1.28
chr17:43167952-43172953	Open Sea	0.487	0.553	1.14
chr15:83238081-83243082	Open Sea	0.462	0.613	1.33
chr1:44963977-44968978	Open Sea	0.456	0.6	1.32
chr1:110076242-110081243	Open Sea	0.481	0.58	1.2
chr12:113555539-113560540	Open Sea	0.476	0.58	1.22
chr14:23979763-23984764	Open Sea	0.485	0.673	1.39
chr19:18128747-18133748	Open Sea	0.54	0.687	1.27
chr1:202089453-202094454	Open Sea	0.501	0.707	1.41
chr6:37646051-37651052	Open Sea	0.511	0.733	1.44
chr1:11037245-11042246	Open Sea	0.49	0.487	0.993
chr3:14499866-14504867	Open Sea	0.502	0.62	1.24
chr17:71335984-71340985	Open Sea	0.5	0.633	1.27
chr1:27860183-27865184	Open Sea	0.516	0.58	1.12
chr17:72760933-72765934	Open Sea	0.529	0.627	1.18
chr2:85965940-85970941	Open Sea	0.497	0.6	1.21
chr1:33826667-33831668	Open Sea	0.494	0.587	1.19
chr20:1794812-1799813	Open Sea	0.508	0.513	1.01
chr3:12986136-12991137	Open Sea	0.536	0.56	1.04
chr10:80446743-80451744	Open Sea	0.496	0.573	1.16
chr2:71821212-71826213	Open Sea	0.518	0.633	1.22
chr4:8394271-8399272	Open Sea	0.514	0.553	1.08
chr9:117010072-117015073	Open Sea	0.513	0.653	1.27
chr3:10988500-10993501	Open Sea	0.529	0.567	1.07
chr3:134083603-134088604	Open Sea	0.523	0.6	1.15
chr10:73756751-73761752	Open Sea	0.533	0.667	1.25
chr14:95964412-95969413	Open Sea	0.502	0.62	1.23
chr15:68931029-68936030	Open Sea	0.523	0.627	1.2
chr1:23130828-23135829	Open Sea	0.555	0.567	1.02
chr2:16122132-16127133	Open Sea	0.509	0.747	1.47
chr3:122709633-122714634	Open Sea	0.512	0.627	1.22
chr5:149666884-149671885	Open Sea	0.527	0.633	1.2
chr10:134496713-134501714	Open Sea	0.508	0.627	1.23
chr16:5073004-5078005	Open Sea	0.549	0.653	1.19
chr1:205008226-205013227	Open Sea	0.568	0.487	0.857
chr8:140886933-140891934	Open Sea	0.546	0.48	0.879
chr19:35623439-35628440	Open Sea	0.509	0.533	1.05
chr16:89377682-89382683	Open Sea	0.533	0.513	0.963
chr2:240074777-240079778	Open Sea	0.515	0.573	1.11
chr12:6340541-6345542	Open Sea	0.539	0.553	1.03
chr1:110702160-110707161	Open Sea	0.503	0.567	1.13
chr20:4145983-4150984	Open Sea	0.518	0.647	1.25
chr6:166906279-166911280	Open Sea	0.54	0.593	1.1
chr11:10509813-10514814	Open Sea	0.521	0.553	1.06
chr17:73687435-73692436	Open Sea	0.525	0.6	1.14
chr15:42694297-42699298	Open Sea	0.529	0.567	1.07
chr11:64453154-64458155	Open Sea	0.544	0.633	1.16
chr1:205486273-205491274	Open Sea	0.54	0.653	1.21
chr18:46137534-46142535	Open Sea	0.535	0.6	1.12
chr2:131575463-131580464	Open Sea	0.524	0.547	1.04
chr20:31566161-31571162	Open Sea	0.508	0.587	1.15
chr16:74780679-74785680	Open Sea	0.5	0.613	1.23
chr1:44964888-44969889	Open Sea	0.477	0.607	1.27
chr21:32842470-32847471	Open Sea	0.503	0.44	0.874
chr1:155939667-155944668	Open Sea	0.531	0.633	1.19
chr2:231879690-231884691	Open Sea	0.516	0.547	1.06
chr10:123911908-123916909	Open Sea	0.489	0.527	1.08
chr15:68875518-68880519	Open Sea	0.517	0.54	1.04
chr1:225633588-225638589	Open Sea	0.526	0.533	1.01
chr11:74429696-74434697	Open Sea	0.481	0.573	1.19
chr1:203245226-203250227	Open Sea	0.503	0.6	1.19
chr10:73738641-73743642	Open Sea	0.504	0.633	1.26
chr1:205043872-205048873	Open Sea	0.493	0.54	1.09
chr9:135086992-135091993	Open Sea	0.543	0.633	1.17
chr14:77523560-77528561	Open Sea	0.495	0.62	1.25
chr20:4146505-4151506	Open Sea	0.54	0.587	1.09
chr14:105130094-105135095	Open Sea	0.512	0.647	1.26
chr16:81729237-81734238	Open Sea	0.56	0.54	0.964
chr1:19266052-19271053	Open Sea	0.525	0.573	1.09
chr17:76221331-76226332	Open Sea	0.506	0.633	1.25
chr17:8371659-8376660	Open Sea	0.503	0.627	1.24
chr1:203480832-203485833	Open Sea	0.531	0.513	0.966
chr1:161161363-161166364	Open Sea	0.513	0.627	1.22
chr9:129893761-129898762	Open Sea	0.507	0.56	1.11
chr18:35013656-35018657	Open Sea	0.519	0.527	1.02
chr1:44004167-44009168	Open Sea	0.542	0.613	1.13
chr14:96517958-96522959	Open Sea	0.529	0.507	0.958
chr1:160178632-160183633	Open Sea	0.521	0.587	1.13
chr11:119244503-119249504	Open Sea	0.561	0.64	1.14
chr14:93422892-93427893	Open Sea	0.557	0.62	1.11
chr1:16027758-16032759	Open Sea	0.531	0.573	1.08
chr1:109838909-109843910	Open Sea	0.556	0.58	1.04
chr1:54788155-54793156	Open Sea	0.513	0.56	1.09
chr14:65146511-65151512	Open Sea	0.532	0.607	1.14
chr1:201532680-201537681	Open Sea	0.523	0.6	1.15
chr12:2941752-2946753	Open Sea	0.52	0.62	1.19
chr19:35594749-35599750	Open Sea	0.54	0.653	1.21
chr1:21635117-21640118	Open Sea	0.529	0.553	1.05
chr11:6432732-6437733	Open Sea	0.508	0.507	0.997
chr8:27100561-27105562	Open Sea	0.506	0.593	1.17
chr15:78050011-78055012	Open Sea	0.534	0.587	1.1
chr5:141243371-141248372	Open Sea	0.545	0.64	1.17
